Article-Link,Article-Gist,Article-Content
Bairstow and Kapp voted ICC Players of the Month for June,England’s Jonny Bairstow and South Africa’s Marizanne Kapp have been named the men’s and women’s International Cricket Council (ICC) Players of the Month for June.,"With back-to-back centuries against New Zealand and India, Bairstow pipped compatriot Joe Root and New Zealand’s Daryl Mitchell to win the award.  The 32-yearold’s knock of 136 against New Zealand during the second Test in Nottingham was second-fastest Test century by an English player.  ""I would like to thank the fans for voting for me as the ICC Men’s Player of the Month,"" Bairstow said.  ""It has been an incredible five weeks for England. It has been a positive start to our summer with four excellent wins against high-class opposition in New Zealand and India.  ""We are enjoying our cricket as a team and playing with clarity and positivity.  ""Even though I have scored four centuries in this period, I would like to acknowledge my teammates who have been excellent in every department and playing with immense confidence.""  Meanwhile, Kapp was honoured after notching 150 and an unbeaten 43 against England last month.  She beat teammate Shabnim Ismail and England’s Nat Sciver for the prize.  The 32-year-old is the first South African to win the Women’s Player of the Month award since Lizelle Lee was crowned in March 2021.  ""It really means a lot for me to win the ICC Women’s Player of the Month award, especially being up against two absolutely brilliant players in Shabnim Ismail and Nat Sciver,"" she said.  ""What made my first Test century so special was that, number one, our first Test match (in 2014) was an absolute nightmare.  ""Then having to play another one after eight years where I had minimum preparation for the Test match because I was unwell and then finding my team in the position we were in at 45 for four, it is something that will stay with me throughout my career.  ""It’s definitely a highlight for me, especially with the wickets that fell at the other end and then having to bat with the tail as well, those partnerships are what also made it so special."""
Groups finalised for 2022 FIFAe Finals in Copenhagen,"Groups for the 2022 FIFAe World Cup, FIFAe Club World Cup and the FIFAe Nations Cup set to be held at the Bella Arena in Copenhagen from July 14 to July 30 have been confirmed.","A total of 32 individuals will compete in the FIFAe World Cup with 24 nations participating in the FIFAe Club World Cup and the FIFAe Nations Cup.  A total prize pool of $1.2 million (£1 million/ €1.1 million) is available for the winners apart from the amount earned during qualification.  A round robin format will be followed in the group stages with the best four qualifying.  The 2018 runner-up Stefano 'PINNA97' Pinna, Dutch wonderkid Levi de Weerd, home favourites Onewaycrazy, Klenke, Teamhajj01,  Tekkz of the United Kingdom are some of the big names who have qualified.  The FIFAe Club World Cup will see four groups of six with each club playing each other twice in a round robin 2v2 format with the top four of each group qualifying for the knockouts.  Defending champion Complexity Gaming will be the fan favourite to retain the club title with former Manchester City striker Sergio Agüero’s KRÜ esports, Ruud Gullit’s Team Gullit, and powerhouses Fnatic and Excel challenging for the title.  For the FIFAe Nations Cup, 24 countries, split into four groups, will compete in a 2v2 format with the top four once again qualifying for the final stage on July 30 with the possibility of fans joining the event for the first time.  Reigning FIFAe Nations Cup champions France, debutants India, Brazil and the top-ranked Singapore are all set to battle it out."
International Table Tennis Federation names Bosi and Burton as senior advisors,"The International Table Tennis Federation (ITTF) has appointed two senior advisors - Stefano Bosi and Bruce Burton - to help with everything pertaining to the worldwide governing body, the ITTF Foundation and World Table Tennis.","ITTF President Petra Sörling expressed her delight in the decision and said that the duo have already taken part in a Board meeting of the ITTF Foundation.  Bosi is a seven-time Italian singles champion and has represented the country on 250 occasions.  He also was the head of Italian Table Tennis Federation from 1990 to 2004 and the President of the European Table Tennis Union from 1999 to 2013.  ""I am delighted to be on board,"" Bosi said.  ""In my long life within the table tennis family, I have filled almost every role: I was a player, a coach, an official and, several times, in charge of different table tennis entities.  ""Joining the ITTF is a special moment, it makes me very proud.  ""I am still passionate about our sport, with many ideas to share.""  Burton is also an experienced administrator having been elected President of Table Tennis Canada in 1994.  He became a member of the ITTF Board of Directors in 1995 and served as North American Table Tennis Union president in 1997.  ""It has been an honour to receive the invitation from the ITTF President and CEO to serve as a Senior Advisor to the ITTF Group,"" Burton, who was an ITTF Executive Committee member from 2014 to 2021, said.  ""During my service on the ITTF Board of Directors, then as Continental President, and later as an Executive Committee member, I have consistently made it a practice to view each issue through the lens of what is best for the sport.  ""In this new role, I will strive to adhere to this guiding principle in meeting the challenges and opportunities ahead of the international table tennis community and look forward to fulfilling the trust placed in me."""
Seoul to host 2022 WDSF World Championship Breaking in October,The World DanceSport Federation (WDSF) has confirmed that Seoul in South Korea will be hosting the 2022 WDSF World Championship Breaking from October 21 to October 22.,"The event is being planned to be held at the SK Olympic Handball Stadium with over a hundred breakers competing for world titles.  Breaking, with the growth of urban culture, became popular in South Korea in the 1980s thanks to American soldiers at military bases around the country.  The country started televising events from the United States during the period, increasing the reach of breakdancing.  Paris hosted the 2021 WDSF World Championship Breaking last year that saw 99 B-boys and 80 B-girls compete.  B-boy Victor of the United States and B-girl Ayumi of Japan won the adult breaking 1 vs1 B-boy and B-girl categories respectively, in France.  Breaking is set to make its debut at the Paris 2024 Olympic Games.  The discipline has already made its debut at the Birmingham 2022 World Games and has also been added to the programme for the 2023 Pan American Games in Santiago, with the event set to act as an Olympic qualifier according to Panam Sports.  The discipline was on the programme for the 2018 Youth Olympic Games in Buenos Aires."
Olympic and world champions to compete for honours at IJF Grand Prix in Zagreb,Zagreb in Croatia is set to host the next International Judo Federation (IJF) Grand Prix starting tomorrow with Olympic and world champions in action.,"A total of 477 athletes - 282 men and 195 women - from 67 countries are set to compete in the Croatian capital.  All focus will be on world champion and home favourite Barbara Matic in the women’s under-70kg.  In the women’s under-52 kilograms category, Tokyo 2020 gold medallist Uta Abe of Japan, is still the one to beat.  Her main challenger would be the under-48kg Olympic champion and Kosovar judoka Distria Krasniqi.  World Championships bronze medallist Gefen Primo of Israel, Switzerland’s Fabienne Kocheran and Ana Pérez Box of Spain will all look to upset the favourites.  Among men, two-time Olympic individual champion Teddy Riner of France will be the star in Croatia.  In the men’s over-100kg category, the presence of reigning Olympic champion Lukas Krpaleck of the Czech Republic is sure to make it one of the matchups to look out for, provided the duo avoids each other in the initial stages.  Tokyo 2020 under-73 kg silver medallist Georgian Lasha Shavdatuashvili and Azerbaijani Hidayat Heydarov will battle it out in the category with Heydarov’s compatriot and Olympic silver medallist Rustam Orujov also challenging.  In the men’s under-81kg, a meeting between world silver medallist Tato Grigalashvili of Georgia and Olympic silver medallist Saeid Mollaei of Azerbaijan could see sparks fly."
Ferriani promises fourth term as International Bobsleigh and Skeleton Federation President will be his last,Ivo Ferriani has been re-elected as the President of the International Bobsleigh and Skeleton Federation (IBSF) for a fourth term.,"The decision was made at the IBSF Congress in Lausanne, where Ferriani was elected unanimously.  The 62-year-old Italian, a member of the International Olympic Committee and head of the Association of International Olympic Winter Sports Federations, announced that this will be his last term as IBSF President.  Ferriani had been elected as IBSF President in 2010 ending the 16-year Presidency of Canada's Robert H. Storey.  ""Please be assured that I am more motivated than ever to serve our sport and leave the IBSF in a more robust and healthier position than ever,"" Ferriani said.  After the election, Ferriani promised that his next term as President will have the motto: ""Let's be stronger together in challenging times.""  Spain’s Ander Mirambell is set to serve as vice-president of sport, while Germany’s Andreas Trautvetter was elected as vice-president of financial corporate affairs.  Other elected members include vice-president of marketing and events David Tomatis of Monaco, vice-president of international affairs Stefaan Freeling of Belgium, Chanmin Chyun of South Korea as vice-president of communication and Latvian Martins Dambergs, who will serve as vice-president of legal affairs.  Ferriani compete for Italy at the 1988 Winter Olympics in Calgary, finishing 19th in the two-man event.  Earlier in his career, he won a silver medal at the 1986 Junior European Championships in Igls.  Ferriani also enjoyed a successful coaching career with Italy, France and Canada.  After he finished coaching, Ferriani returned to Italy where he served as technical director for bobsleigh in the Italian Winter Sports Federation from 2002 to 2009.  During the 2006 Winter Olympics in Turin, he served as the competition manager for the bobsleigh, luge, and skeleton events.  Meanwhile, FIL Honorary President Josef Fendt was announced as an honorary member of the IBSF in Lausanne.  ""Sepp Fendt has always been a loyal partner of the IBSF during his more than 20 years as FIL President when it came to the interests of the sliding sports in general,"" said Ferriani.  ""His great experience at the international level helped our Federation especially in the last 12 years.  ""It is therefore an honour for us to accept him as an honorary member of the IBSF for his services to the sport of luge."""
International Ski Federation names Carlsson as deputy secretary general,Niklas Carlsson has been appointed as the deputy secretary general of the International Ski Federation (FIS).,"The former International Biathlon Union (IBU) secretary general, who will start in his new role in the summer, is set to assist FIS secretary general Michel Vion.  Carlsson brings in a wealth of experience after having worked with almost all skiing disciplines.  Prior to working with IBU, Carlsson served as the chief executive of the 2019 FIS Alpine World Ski Championships in Åre in Sweden.  The Swede had a stint as a Board member of Falun 2015 FIS Nordic World Ski Championships.  He also held the post of secretary general with the Swedish Ski Federation from 2011 to 2014 and served as the event and sponsoring manager of FIS from 2008 to 2011.  FIS President Johan Eliasch praised Carlson and said his all-round knowledge about the sport makes him an ideal appointment.  ""With Niklas, we have found a dynamic person who has the capability to handle the many facets that make up FIS,"" Eliasch said.  ""He has one of the most well-rounded and complete backgrounds that will enable him to make an immediate impact as we move FIS forward.  ""I am completely convinced that Niklas will make an excellent addition to our team.""  Carlsson, who is fluent in English and German, holds a coaching diploma from the University of Physical Education in Stockholm."
Taekwondo athletes included in UAE NOC grant agreement,"Two members of the national taekwondo team - Fatima Al Abdouli and Sultan Al Ali - are among seven athletes who are in line to benefit from a grant agreement signed by the United Arab Emirates National Olympic Committee (UAE NOC), in coordination with the Olympic Solidarity Commission.","Shooters Saif bin Fattis, Ibrahim Khalil and Yasmine Tahlak, weightlifter Mai Al Madani and cyclist Youssef Mirza are the others.  Mohammed bin Darwish, executive director of UAE NOC, representatives from National Federations and select athletes were all present as the agreement was signed.  It has been established with the aim of sending the maximum number of Emirati athletes to the Paris 2024 Olympic Games.  Brigadier Ahmed Hamdan Al Zeyoudi, President of the Emirates Taekwondo Federation, praised the Olympic grant agreement and said it doubles the responsibility on everyone to produce results at the Olympic Games.  Sheikh Ahmed bin Mohammed bin Hasher Al Maktoum, President of the Emirates Shooting Federation, also joined Al Zeyoudi in thanking the UAE NOC for the initiative.  ""I take the opportunity to extend my sincere thanks and appreciation to His Highness Sheikh Ahmed bin Mohammed bins Rashid Al Maktoum, President of the National Olympic Committee, for his continuous support to the Olympic movement and his follow-up to all athletes in various sports fields,"" Al Maktoum said.  Azza bint Sulaiman, assistant secretary general for administrative and financial affairs of the UAE NOC, said the scheme supports the NOC vision of providing athletes with the best facilities and support as they prepare for Paris 2024."
"North Macedonia triumph in CS:GO European Championships, qualify for IESF World Championships","North Macedonia qualified for the International Esports Federation (IESF) World Esports Championships Finals in Bali by winning the CS:GO European Championships, organised by the European Esports Federation (EEF).","A total of 16 players took part in the CS:GO European Championships held from July 5 to July 10 at the Oradea Arena in Romania, with CacaNito and Dan1 helping North Macedonia top the podium and win $10,000 (£8,435/ €9,913).  Ukraine secured a second-place finish and an $8,000 (£6,748/€7,931) prize, while Serbia and Sweden tied for third, splitting the $7,000 (£5,904/€6,939) prize offer.  ""Congratulations to all the countries which took part in the CS:GO regional qualifier, and my many thanks to the Romanian Esports Federation for welcoming the World Esports Family for this fantastic event,"" IESF President Vlad Marinescu said.  ""The level of competition was world-class and it’s clear that the bar is being raised year upon year.  ""And a special congratulations to Europe’s new CS:GO champions, North Macedonia, for showcasing incredible performances to beat out the competition.  ""We are very excited to welcome the team to Bali later this year for the World Esports Championships Finals.""  European Esports Federation President Ido Brosh praised Oradea for hosting the event and congratulated the winners.  ""I’d like to congratulate North Macedonia for their victory and thank our partners at Digital Crusade and IESF for the support and hospitality,"" Brosh said.  ""See you in our next European Championships in Pogdorica!""  The European Championships in eFootball and Dota 2 are scheduled to be held soon in Podgorica, Montenegro and Tirana, Albania, respectively, followed by PUBG and Mobile Legends: Bang Bang regional qualifiers.  The 2022 World Esports Championships Finals in Bali is set to be held from December 1 to December 12."
Philippines stun Thailand to clinch first AFF Women's Championship title at home,Host nation the Philippines cruised past Thailand 3-0 to secure its first Association of Southeast Asian Nations Football Federation (AFF) Women's Championship title.,"It took only eight minutes as Jessika Rebecca Macayan Cowart’s header from a set piece gave them the lead at the Rizal Memorial Stadium in Manila.  After multiple clearances and scrambles inside the box, Katrina Jacqueline Rivera Guillou doubled the lead for the Philippines in the 21st minute.  While Thailand hand already conceded defeat, Sarina Isabel Calpo Bolden found time for one more goal with a minute to spare to seal the victory.  ""For them to get through this grueling schedule… to finish like that with so much spirit and determination is a testament to this team,"" Philippines head coach Alen Stajcic was quoted as saying by rappler.com.  ""We’ve climbed a little hill tonight.  ""We’ve conquered Southeast Asia, but I know there are big mountains ahead.  ""It is a great hill to climb and there are bigger challenges ahead of us.""  Earlier, Myanmar edged Vietnam 4-3 for a third-place finish.  Saw Thaw Thaw opened the proceedings with a ninth-minute goal for Myanmar before Huỳnh Như equalised for Vietnam.  Như added another one for Vietnam’s second with five minutes left in the first half.  Thaw Thaw also doubled her tally 10 minutes after the restart.  The end-to-end match saw Phạm Hải Yến slot one in the 80th  minute for Vietnam in what looked like the winner.  But there was more drama as Lin Mynt Mo struck in the 83rd minute before Thaw Thaw completed her hat-trick three minutes later to win the game for Myanmar."
"Italy win maiden women's Volleyball Nations League title, Serbia settle for bronze",Italy bagged their first women’s Volleyball Nations League (VNL) title after beating Brazil in the final in Ankara.,"The European champions triumphed 25-23, 25-22, 25-22 against the South American giants to hand them a third consecutive VNL silver.  Italian star Paola Egonu tallied 21 points, including three blocks while outside hitter Caterina Bosetti added another 11.  For Brazil, Kisy Nascimento was the best scorer on 14 points, followed by skipper Gabriela Guimaraes on 11.  Italy cruised to a 10-3 lead in the first set thanks to three kills by Egonu and a block by middle Cristina Chirichella.  Brazil came back after middle blocker Ana Carolina Da Silva, Nascimento and Guimaraes combined to make it 22-23.  Anna Danesi then capitalised on a free ball mistake to make it 24-22 for the Italians before the winners got the set 25-23.  The second set was a hard-fought affair with Ofelia Malinov delivering the final blow to close the set at 25-22 for the Italians.  The third set also went down to the wire with Egon and Chirichella once again starring as the Italians took the set with the same scoreline.  ""I’m really happy!"" said Alessia Orro of Italy, after the victory.  ""We did it as a group.  ""We still have a long way to go, but we are happy with this great result.  ""All of my teammates were great, and the staff had a well-prepared technical plan, which worked out really well.""  Meanwhile, Serbia bounced back from their semi-final defeat to Brazil by beating Turkey to win bronze - their first-ever VNL medal.  The reigning world champions registered a 27-25, 25-17, 26-24 victory over hosts Turkey."
Sweden thrash Portugal to reach UEFA Women’s Euro 2022 quarter-finals,Manchester City’s Filippa Angeldahl scored a brace as Sweden cruised to a 5-0 win over Portugal in their final group C game at the Leigh Sports Village in Manchester.,"An own goal by Carole Costa and a penalty from Kosovare Asllani followed by an injury time stunner from Stina Blackstenius helped the Swedes to a comfortable win.  They could face Iceland, Belgium or Italy as all three teams are in a position to qualify for the next round from group D.  Experienced Portuguese goalkeeper Patricia Morais missed to clear the ball from a corner in the 21st minute as Angeldahl capitalised for the opener.  A genius play from Asllani in the 45th minute set up Angeldahl, who made wonderful curling finish to double the lead.  The seven extra minutes added in the first half did not help Portugal as Costa heading post her own keeper from a corner.  The Swedes were growing in confidence and nine minutes into the second half, Diana Silva handled the ball allowing Asllani to convert from the spot.  Blackstenius, who was denied a goal in the hour mark because of VAR intervening, completed the rout with a top-corner finish in the dying minutes,  In the other game of the day, the Netherlands showed their class in a dominating 4-1 win over Switzerland at Bramall Lane in Sheffield to set up a meeting with France in the quarter-finals.  Switzerland’s Ana-Maria Crnogorčević opened the scoring for the opposition with a 49th minute own goal before Géraldine Reuteler equalised for Switzerland in the 53rd  minute.  With scores level at 1-1, Romee Leuchter and Victoria Pelova scored three goals between them in the last 10 minutes as Mark Parsons' side sealed the victory."
BOC and BSF sign agreement to teach swimming for children,An annual cooperation agreement has been signed by the Bahrain Olympic Committee (BOC) and Bahrain Swimming Federation (BSF).,"A total of 10,000 children are set to benefit from the agreement.  BOC secretary general Faris Mustafa Al-Kooheji and BSF President Dr Muhammad Majbal signed the agreement on Sunday.  The aim of the initiative is to train and teach swimming to children.  Al-Kooheji expressed his satisfaction at signing the agreement and said it was in line with the vision of BOC President HH Sheikh Khalid bin Hamad Al-Khalifa, who is also the first deputy chairman of the Supreme Council for Youth and Sports.  ""Swimming is a basic Olympic sport,"" Al-Kooheji said.  ""The signing of this agreement will result in the largest number of children of both sexes being involved in swimming.""  Al-Kooheji also said that the BOC initiative is to spot young talented swimmers who can win a potential Olympic medal for Bahrain."
TTOC awards bonus to Beijing 2008 men’s relay squad following medal upgrade,"The Trinidad & Tobago Olympic Committee (TTOC) has awarded its Beijing 2008 men’s 4x100m relay gold medallists with $40,000 (£33, 386/€39,212) as part of the medal bonus incentive.","Richard Thompson, Keston Bledman, Marc Burns, Emmanuel Callender and Aaron Armstrong had to wait for a log time before they were upgraded from silver to gold after Jamaica team member Nesta Carter violated the anti-doping code by testing positive for methylhexaneamine.  The new medal was awarded in Olympic medal reallocation ceremony at the Olympic Museum in Lausanne this month.  TTOC medal bonuses are given to those who have medalled at the highest level of multisport events such as the Olympics and Paralympics and other events such as the recently concluded Caribbean Games held in Guadeloupe.  TTOC President Diane Henderson said that hearing the national anthem at the Olympic Museum was euphoric and that their reward was ""long overdue for their outstanding performance, effort and integrity after waiting 14 years to receive the upgrade"".  An elated Thompson thanked TTOC for the incentive and spoke of the sacrifices that athletes have to make for getting to the top.  ""The difficulty that it takes to prepare at every level is one that comes with a lot of difficulty and we are truly appreciative as athletes representing TT,"" Thompson said.  ""To know that when we wear our national colours with pride, joy and dignity when we receive trophies that it doesn’t go unnoticed.  ""Thanks again to Diane Henderson always giving us the support and the acknowledgement and to Brian Lewis (former TTOC president) for starting this initiative and for being athlete-centred."""
DOSB congratulates athletes after topping medals table at Birmingham 2022 World Games,The German Olympic Sports Confederation (DOSB) has praised its athletes for helping the nation top the medals table at the Birmingham 2022 World Games.,"Germany won a total of 24 gold, seven silver and 16 bronze medals at the 11th edition of the Games in Alabama.  The only time Germany has had a better performance at the event is at the 1993 World Games in The Hague and the two home Games - Karlsruhe 1989 and Duisburg 2005.  ""Team D showed itself from its best side at the World Games in Birmingham - both during and outside of the competitions,"" DOSB vice-president and head of delegation, Oliver Stegemann, said.  ""We supported and cheered each other on, celebrated victories together and dealt with defeats as a team.  ""The fact that medals were won in 16 different sports impressively underlines the diversity and quality of competitive sports in Germany.  ""We can all be proud of that and take a lot of good things with us for the future.""  Beach handball athlete Lucie-Marie Kretzschmar was among the flag bearers with ju-jitsu star Jaschar Salmanow at the Opening Ceremony in Birmingham.  ""I never expected to be able to lead the German team with the flag,"" Kretzschmar said.  ""That is a huge dream for every athlete, which has come true for me.  ""Team D was by far the most closely knit team at the World Games, I think.  ""You felt like you were part of a really big team.  ""That was definitely one of the reasons why we ended up at the top of the medal table. """
Djokovic unlikely to play in US Open because of vaccination status,"Novak Djokovic’s hopes of playing in the US Open has suffered a blow after the Grand Slam organisers claimed that they would ""respect"" the United States Government rules for unvaccinated players.","Non-citizens of the United States will have to be vaccinated against COVID-19 to enter the country.  The three-time US Open champion has been included in the entry list but that is just a formality.  The Serb recently won the Wimbledon after beating Australia’s Nick Kyrgios in the final, making it his 21st Grand Slam trophy, one short of Spaniard Rafael Nadal’s 22 in men’s singles.  The 35-year-old was deported from the Australian Open early in the season because he was not vaccinated.  The US Open, which does not have its own vaccination rules, is scheduled to take place in New York from August 29 to September 11.  ""Per the Grand Slam Rule Book, all eligible players are automatically entered into the men's and women's singles main draw fields based on ranking 42 days prior to the first Monday of the event,"" a statement from the tournament read.  ""The US Open does not have a vaccination mandate in place for players, but it will respect the US government's position regarding travel into the country for unvaccinated non-US citizens.""  Recently, a petition is being circulated demanding Djokovic be allowed to participate in the Grand Slam at the Flushing Meadows.  Around 12,000 people have signed the online petition already."
Eleven-time Paralympic champion Grey-Thompson appointed UK Sport Board member,Eleven-time Paralympic champion Baroness Tanni Grey-Thompson has been appointed as a Board member of UK Sport.,"Grey-Thompson, who was named chair of Sport Wales on July 4, made her Paralympic debut at Seoul 1988, where she won bronze in the 400 metres.  The 52-year-old followed it up with four gold medals at Barcelona 1992, one in Atlanta 1996, four more in Sydney 2000 and two in Athens 2004.  ""I am very much looking forward to starting my appointment at Sport Wales and the involvement that this will lead to with UK Sport’s Board,"" Grey-Thompson said.  ""I hope that my background and experience can provide a fresh perspective to the high-sport performance community in the best way possible.""  Post retirement, Grey-Thompson also accumulated experience in areas of politics and motivational speaking.  In 2010, she became a Crossbench Peer in the House of Lords.  She also serves as a Board member in the London Legacy Development Corporation and had stints with the London Marathon, Transport for London, and the London 2017 Organising Committee.  UK Sport chair Dame Katherine Grainger expressed her delight in welcoming Grey-Thompson and said that her appointment as chair of Sport Wales was ""well-deserved"".  ""She has had an exceptional career as a Paralympian, which is something that will only enrich our pool of experience as an organisation, where we strive to enhance the platform for all members of the high-performance sport community,"" Grainger said."
MMAFM to conduct monthly trials to spot up-and-coming fighters,The Mixed Martial Arts Federation Mauritius (MMAFM) has decided to host monthly trials in different regions for talent identification.,"The athletes who are selected after the trials will get a chance to participate in the National Championships.  The MMAFM initiative is for beginners and professionals but those wishing to attend must be a member of an affiliated club and training under a coach recognised by the MMAFM, apart from needing to meet medical and insurance requirements.  ""At the building stage, it is important to have a well-established development plan providing a competitive platform helping to develop athletes from grassroots to elite levels,"" MMAFM President Ramotoul Avinash said.  ""Trial programs help athletes to cross internal resistance, jump into the art of combat and showcase their talents.  ""It also makes athletes more responsible at training and on various levels (nutrition, weight management, medical, etc.) as they will encounter challenges regularly.  ""MMA in Mauritius is very promising, as people, especially the youth, are showing lots of interest.  ""Every week we are having lots of new adherents in our regional clubs.  ""The Mixed Martial Arts Federation Mauritius, duly recognized by the Ministry of Youth and Sport, follows the guidance of IMMAF for developing MMA in the most professional way with much humility, honour and respect.  ""We believe in our vision and objective of bringing MMA to its highest level in the country.""  In April, MMA was recognised by the country’s Ministry of Youth and Sport.  A total of five more trial sessions are planned for the remainder of the year.  Results at the National Championships will determine who will represent the country at the International Mixed Martial Arts Federation World Championships."
Spain to host inaugural Karate World Senior Team Championships in 2024,The World Karate Federation (WKF) has announced that the 2024 World Senior Team Championships will be held in Pamplona in Spain.,"The Spanish Karate Federation (SKF) was awarded the hosting rights for the inaugural edition of the event after the successful organisation of the Karate 1-Series A event in January.  Last year’s WKF Congress in Dubai had approved the first stage of development of the WKF Strategic Plan, which outlines details on World Championships from 2022 to 2025, including the decision to split individual and team competitions.  The WKF Executive Committee also reviewed the major events for next year with the World Senior Championships in Budapest from October 24 to 29 set to be the highlight.  ""Karate is in continuous progress and the development of our sport has experienced tremendous growth over the last years, mostly due to the increasing impact of our events,"" WKF President Antonio Espinós said.  ""With the new WKF Strategic Plan, we ensure that our World Championships grow even more in terms of competitive edge and spectacularity.  ""I am convinced that with the decisions taken by the Executive Committee, our events will have a greater influence on fans, athletes and sponsors.""  The WKF also finalised the agenda, including the list of candidates for the Executive Committee and Presidential elections, for the WKF Congress to be held in Konya in October.  Earlier, the WKF had decided to re-allocate the Karate 1-Premier League event from Moscow to Los Angeles, which is scheduled be held from October 7 to 9.  The Russian capital was stripped of hosting rights by WKF in response to the war in Ukraine."
President of Azerbaijan Aliyev thanks IJF leader Vizer for support in developing sport,International Judo Federation (IJF) President Marius Vizer met with the President of Azerbaijan Ilham Aliyev to discuss the development of the sport in the country.,"Aliyev thanked Vizer for the IJF’s support, pointing out the recent success of Azerbaijani judoka at international events.  From Barcelona 1992 champion Nazim Huseynov to Hidayat Heydarov, European champion and gold medallist at the recent Hungarian Grand Slam, the country has had great success in the sport.  With an edition of the IJF Grand Slam set to be held in Baku from November 4 to 6, Vizer took the opportunity to hail the successful bilateral cooperation between IJF and Azerbaijan Judo Federation.  Last year, the IJF had claimed it assisted in the release of Robert Vardanyan, an Armenian judoka taken prisoner by Azerbaijan during fighting in the long-running Nagorno-Karabakh conflict.  Vizer and the Armenian Judo Federation lobbied for Vardanyan's release following which the IJF thanked Aliyev.  ""We would like to express our deep gratitude to the President of Azerbaijan, His Excellency Ilham Aliyev and the Azerbaijan judo family,"" read an IJF statement at the time.  The latest meeting between IJF and Aliyev demonstrates strong ties between the two parties.  The Azerbaijan Judo Federation, under the leadership of its President Rashad Nabiyev, is set to celebrate its 50th anniversary this year."
"Exclusive: IOA secretary general says Executive Committee meeting can only be held after Birmingham 2022, despite IOC warning","Indian Olympic Association (IOA) secretary general Rajeev Mehta has claimed that any Executive Committee meeting with regards to elections can only be held after the 2022 Commonwealth Games here, following an International Olympic Committee (IOC) warning the IOA could be suspended.","With many IOA officials travelling to the English city, Mehta insists an Executive Committee meeting is not possible in the short term.  The IOA elections, due to have been be held in December last year, have been kept in abeyance because of an ongoing case in the New Delhi High Court, where the National Olympic Committee (NOC) has been accused of violating the national sports code.  Three days ago, the IOC issued a letter to the IOA, asking the NOC to hold its elections in the coming weeks or risk facing suspension.  ""The next court order is expected to come between July 26 and August 3,"" Mehta told insidethegames.  ""Since some of us are travelling to Birmingham, we will have to wait until the Commonwealth Games is finished to see what the next step is.""  It remains to be seen if this decision will go down well with the IOC as the international governing body had asked IOA to ""confirm the date of the IOA quadrennial elections without any further delay, in accordance with IOC Charter and the IOA Constitution currently in force and approved by the IOC"".  Anil Khanna, who was appointed as IOA Acting President by the New Delhi High Court as per the law of the land and the IOA Constitution, following Narinder Batra’s resignation, claimed the IOC warning is ""out of the line"".  Batra recently resigned as President of the International Hockey Federation and IOA with immediate effect, citing ""personal reasons"".  ""What I, however, find a little out of line, is a premature warning of suspension without having been given a reasonable opportunity by the IOC/OCA [Olympic Council of Asia] to the IOA,"" Khanna wrote.  In a letter addressed to James Macleod, director of Olympic Solidarity and NOC relations, and Husain Al-Musallam, director general of the OCA, Khanna requested a meeting with the IOC, stating that the NOC will only be able to conduct elections once it gets permission from the New Delhi High Court.  Khanna had also requested a meeting with OCA Acting President Randhir Singh, secretary general of the IOA between 1987 and 2012.  ""A possibility could be that since the Acting President OCA Raja Randhir Singh is based in India itself, IOA could have a meeting with him here and await communication from your good selves for another meeting in Lausanne or elsewhere,"" Khanna’s letter read.  Khanna's appointment is yet to be recognised by the IOC.  The IOC had previously banned the IOA for failing to comply with its rules in the election process in 2012.  India is due to host the next IOC Session in Mumbai in 2023, while the country has also expressed interest in staging the 2036 Olympic and Paralympic Games."
Brazil to face hosts Colombia in Copa América Femenina final,Brazil defeated Paraguay 2-0 at the Alfonso López Stadium in Bucaramanga to reach the final of the 2022 Copa América Femenina.,"The seven-time champions will face hosts Colombia, who beat Argentina 1-0 in the other semi-final  Victory for La Seleçao also ensured a spot at Paris 2024 Olympic Games.  It took only 16 minutes for the Brazilians to break the deadlock as Ary Borges’ low drive into the right corner was unstoppable for Paraguay keeper Alicia Bobadilla.  Brazil were constantly on the attack and Bobadilla played a big role in maintaining the score line before Beatriz Zaneratto João double the advantage in the 28th minute.  Brazil coach Pia Sundhage was delighted after securing the Olympic berth and said she will try her best to help the team claim the gold medal in Paris.  Brazil were knocked out in the quarter-finals at Tokyo 2021.  ""It’s fantastic to be back at the World Cup and the Olympics, and if we talk about the Olympics with the Brazilian national team, I think we can do better,"" Sundhage was quoted as saying by Olympics.com.  ""I learnt so many things during the quarter-final in Tokyo and we won’t make the same mistakes we did then."""
